Item #,Reference Des,Qty,Manufacturer,Mfg Part #,Description,Value,Package,Type,Instructions
1,C4,1,KEMET,C0603C223K3RAC7411,0.022µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric),0.022u,C0603,SMD,Can use generic.
2,"C1, C3, C6, C8, C9, C11, C12, C16, C17, C32, C34, C35, C38, C40, C45",15,KEMET,C0603C104K5RACTU,0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric),0.1u,C0603,SMD,Can use generic.
3,"C13, C14",2,KEMET,C0603C224J4RACTU,0.22µF ±5% 16V Ceramic Capacitor X7R 0603 (1608 Metric),0.22u,C0603,SMD,Can use generic.
4,R4,1,Yageo,RC0402JR-070RL,"0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)  Thick Film",0R,R0402,SMD,Can use generic.
5,R21,1,Stackpole Electronics Inc,RMCF0603FT1M43,"1.43 MOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film",1.43M,R0603,SMD,Can use generic.
6,R19,1,Stackpole Electronics Inc,RMCF0603FT1M62,"1.62 MOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film",1.62M,R0603,SMD,Can use generic.
7,"R2, R7, R8, R11, R13, R15, R32, R37, R40, R46, R48",11,Yageo,RT0603FRE07100KL,"100 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thin Film",100k,R0603,SMD,Can use generic.
8,"C24, C27, C30",3,KEMET,C0402C104K8PAC7411,0.1µF ±10% 10V Ceramic Capacitor X5R 0402 (1005 Metric),100n,C0402,SMD,Can use generic.
9,R36,1,Panasonic Electronic Components,ERJ-U03F1002V,"10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Anti-Sulfur, Automotive AEC-Q200 Thick Film",10k,R0603,SMD,Can use generic.
10,"C15, C19, C20, C21, C22, C23, C41, C42, C43",9,Murata Electronics,GRM188R61A106ME69D,10µF ±20% 10V Ceramic Capacitor X5R 0603 (1608 Metric),10u,C0603,SMD,Can use generic.
11,C31,1,AVX Corporation,F931A106MAA,CAP TANT 10UF 20% 10V 1206,10u,1206 (3216 Metric),SMD,Can use generic.
12,"C28, C29",2,KEMET,C0402C120J5GACTU,"12pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",12p,C0402,SMD,Can use generic.
13,C5,1,KEMET,C0603C153K4REC7867,0.015µF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric),15n,C0603,SMD,Can use generic.
14,R18,1,Meritek,CR161693F,"169 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thick Film",169k,R0603,SMD,Can use generic.
15,"R3, R34",2,Yageo,RT0603FRE07196KL,"196 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thin Film",196k,R0603,SMD,Can use generic.
16,"R6, R28, R33",3,Panasonic Electronic Components,ERJ-3GEYJ105V,"1 MOhms ±5% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film",1M,R0603,SMD,Can use generic.
17,C25,1,KEMET,C0402C102K5RACTU,1000pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric),1n,C0402,SMD,Can use generic.
